字,音,反切,聲母,韻母,聲調,開合口,攝,等第,,,,,,,,,,,,,,,,,,,i
仇,giu2,巨鳩,群,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
幣,bei5,毗祭,並,祭,去,開,蟹,重钮四等,,,,,,,,,,,,,,,,,,,
仍,njan2,如乘,日,蒸,平,開,曾,三等,,,,,,,,,,,,,,,,,,,
僅,gjen5,渠遴,群,真,去,開,臻,重钮三等,,,,,,,,,,,,,,,,,,,
斤,gian1,居焮,見,欣,平,開,臻,三等,,,,,,,,,,,,,,,,,,,
爪,dzao4,側絞,莊,肴,上,開,效,二等,,,,,,,,,,,,,,,,,,,
反,fuan4,府遠,非,元,上,合,山,三等,,,,,,,,,,,,,,,,,,,
介,gai6,古拜,見,皆,去,開,蟹,二等,,,,,,,,,,,,,,,,,,,
父,vu3,扶雨,奉,虞,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
從,zaong2,疾用,從,鍾,平,合,通,三等,,,,,,,,,,,,,,,,,,,
今,gim1,居吟,見,侵,平,開,深,重钮三等,,,,,,,,,,,,,,,,,,,
凶,hiaong1,許容  ,曉,鍾,平,合,通,三等,,,,,,,,,,,,,,,,,,,
分,fun1 vun5,府文,非,文,平,合,臻,三等,,,,,,,,,,,,,,,,,,,
分,vun5,扶問,奉,文,去,合,臻,三等,,,,,,,,,,,,,,,,,,,
乏,vuat7,房法,奉,乏,入,合,咸,三等,,,,,,,,,,,,,,,,,,,
公,gaong1,古紅,見,東,平,合,通,一等,,,,,,,,,,,,,,,,,,,
倉,tshong1,七岡,清,唐,平,開,宕,一等,,,,,,,,,,,,,,,,,,,
月,nguat7,魚厥,疑,月,入,合,山,三等,,,,,,,,,,,,,,,,,,,
氏,zi3 dzi1,承紙,禪,支,上,開,止,三等,,,,,,,,,,,,,,,,,,,
氏,dzi1,章移,章,支,平,開,止,三等,月氏,,,,,,,,,,,,,,,,,,
勿,mut7,文弗,微,物,入,合,臻,三等,,,,,,,,,,,,,,,,,,,
欠,khiem6,去劒,溪,嚴,去,開,咸,三等,,,,,,,,,,,,,,,,,,,
風,faong1 faong5,方戎,非,東,平,合,通,三等,,,,,,,,,,,,,,,,,,,
風,faong5,方鳯,非,東,去,合,通,三等,,,,,,,,,,,,,,,,,,,
丹,dang1,都寒,端,寒,平,開,山,一等,,,,,,,,,,,,,,,,,,,
勻,iun2,羊倫,以,諄,平,合,臻,三等,,,,,,,,,,,,,,,,,,,
烏,o1,哀都,影,模,平,合,遇,一等,,,,,,,,,,,,,,,,,,,
鳳,vaong5,馮貢,奉,東,去,合,通,三等,,,,,,,,,,,,,,,,,,,
勾,geu1,古候,見,侯,平,開,流,一等,,,,,,,,,,,,,,,,,,,
文,mun2,無分,微,文,平,合,臻,三等,,,,,,,,,,,,,,,,,,,
六,louk7,力竹,來,屋,入,合,通,三等,,,,,,,,,,,,,,,,,,,
方,fong1,府良,非,陽,平,合,宕,三等,,,,,,,,,,,,,,,,,,,
火,hua4,呼果,曉,戈,上,合,果,一等,,,,,,,,,,,,,,,,,,,
鬥,diu5 deu5,都豆,端,侯,去,開,流,一等,,,,,,,,,,,,,,,,,,,
斗,diu4 deu4,當口,端,侯,上,開,流,一等,詩韻用作尤韻,,,,,,,,,,,,,,,,,,
憶,ieik8,於力,影,職,入,開,曾,三等,,,,,,,,,,,,,,,,,,,
訂,dian5,丁定,端,青,去,開,梗,四等,另有透聲母平聲字，疑訂正之訂或為平聲，未明,,,,,,,,,,,,,,,,,,
計,gei6,古詣,見,齊,去,開,蟹,四等,,,,,,,,,,,,,,,,,,,
戶,o3,侯古,匣,模,上,合,遇,一等,,,,,,,,,,,,,,,,,,,
認,njen5 njan5,而振,日,真,去,開,臻,三等,,,,,,,,,,,,,,,,,,,
認,njan5,而證,日,蒸,去,開,曾,三等,詩韻同存兩韻,,,,,,,,,,,,,,,,,,
心,sim1,息林,心,侵,平,開,深,三等,,,,,,,,,,,,,,,,,,,
尺,tsheik7,昌石,昌,昔,入,開,梗,三等,,,,,,,,,,,,,,,,,,,
引,ijen4,羊晉,以,真,上,開,臻,三等,,,,,,,,,,,,,,,,,,,
醜,tshiu4,昌九,昌,尤,上,開,流,三等,,,,,,,,,,,,,,,,,,,
巴,ba1,伯加,幫,麻,平,開,假,二等,,,,,,,,,,,,,,,,,,,
孔,khaong4,康董,溪,東,上,合,通,一等,,,,,,,,,,,,,,,,,,,
隊,duai5,徒對,定,灰,去,合,蟹,一等,,,,,,,,,,,,,,,,,,,
辦,bang5,蒲莧,並,山,去,開,山,二等,,,,,,,,,,,,,,,,,,,
以,ii3,羊己,以,之,上,開,止,三等,,,,,,,,,,,,,,,,,,,
允,iun4,余準,以,諄,上,合,臻,三等,,,,,,,,,,,,,,,,,,,
予,iv3 iv2,余吕,以,魚,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
予,iv2,以諸,以,魚,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
勸,khuen6,去願,溪,元,去,合,山,三等,,,,,,,,,,,,,,,,,,,
雙,song1,所江,生,江,平,開,江,二等,,,,,,,,,,,,,,,,,,,
書,sv1,傷魚,書,魚,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
幻,uang5,胡辨,匣,山,去,合,山,二等,,,,,,,,,,,,,,,,,,,
玉,ngiok7,魚欲,疑,燭,入,合,通,三等,,,,,,,,,,,,,,,,,,,
刊,khang1,苦寒,溪,寒,平,開,山,一等,,,,,,,,,,,,,,,,,,,
示,zi5,神至,船,脂,去,開,止,三等,,,,,,,,,,,,,,,,,,,
末,muat7,莫撥,明,末,入,合,山,一等,,,,,,,,,,,,,,,,,,,
未,mi6,無沸,微,微,去,合,止,三等,,,,,,,,,,,,,,,,,,,
擊,geik7,古歷,見,錫,入,開,梗,四等,,,,,,,,,,,,,,,,,,,
打,da4,德冷,端,庚,上,開,梗,二等,韻書有誤？,,,,,,,,,,,,,,,,,,
巧,khao4,苦教,溪,肴,上,開,效,二等,,,,,,,,,,,,,,,,,,,
正,dzan6 dzan1,之盛,章,清,去,開,梗,三等,,,,,,,,,,,,,,,,,,,
正,dzan1,諸盈,章,清,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
撲,phouk7,普木,滂,屋,入,合,通,一等,,,,,,,,,,,,,,,,,,,
扒,bat7,博拔,幫,黠,入,開,山,二等,,,,,,,,,,,,,,,,,,,
功,gaong1,古紅,見,東,平,合,通,一等,,,,,,,,,,,,,,,,,,,
扔,njan1,如乘,日,蒸,平,開,曾,三等,,,,,,,,,,,,,,,,,,,
去,khv6,丘倨,溪,魚,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
甘,gam1,古三,見,談,平,開,咸,一等,,,,,,,,,,,,,,,,,,,
世,sei6,舒制,書,祭,去,開,蟹,三等,,,,,,,,,,,,,,,,,,,
古,go4,公户,見,模,上,合,遇,一等,,,,,,,,,,,,,,,,,,,
