#现代汉语语料库词语频率表;;;;
#语料规模:2000万字;;;;
#只列入出现次数大于50次的词;;;;
#下载自www.cncorpus.org语料库在线网站;;;;
;;;;
;;;;
id;词语;出现次数;频率（%）;累积频率（%）
7017;车辆;132;0.0014;84.0368
7018;笼罩;132;0.0014;84.0382
7019;敌对;132;0.0014;84.0438
7020;弟;132;0.0014;84.0536
7021;都市;132;0.0014;84.0522
7022;写下;132;0.0014;84.0508
7023;高产;132;0.0014;84.0494
7024;论点;132;0.0014;84.048
7025;不已;132;0.0014;84.0466
7026;报名;132;0.0014;84.0452
7027;关闭;132;0.0014;84.0396
7028;永;132;0.0014;84.0424
7029;通红;132;0.0014;84.027
7030;琢磨;132;0.0014;84.0158
7031;波斯;132;0.0014;83.9976
7032;宏伟;132;0.0014;84.0186
7033;生前;132;0.0014;84.006
7034;化学家;132;0.0014;84.0256
7035;绘;132;0.0014;83.999
7036;捕鱼;132;0.0014;84.0004
7037;小儿;132;0.0014;84.0018
7038;醉;132;0.0014;84.0032
7039;挡住;132;0.0014;84.0046
7040;阴影;132;0.0014;83.9948
7041;统一性;132;0.0014;84.0074
7042;绣;132;0.0014;84.0088
7043;解开;132;0.0014;84.0102
7044;图纸;132;0.0014;84.0116
7045;筷子;132;0.0014;84.013
7046;固执;132;0.0014;84.0144
7047;囊;132;0.0014;84.0228
7048;窜;132;0.0014;84.0172
7049;终身;132;0.0014;83.9962
7050;牌子;132;0.0014;84.02
7051;户口;132;0.0014;84.0214
7052;种族;131;0.0014;84.0914
7053;下颌;131;0.0014;84.0928
7054;迫;131;0.0014;84.0942
7055;抖;131;0.0014;84.1054
7056;汁;131;0.0014;84.0956
7057;脱下;131;0.0014;84.0872
7058;终年;131;0.0014;84.097
7059;狂;131;0.0014;84.0984
7060;适合于;131;0.0014;84.0998
7061;权益;131;0.0014;84.1012
7062;演绎;131;0.0014;84.1026
7063;下部;131;0.0014;84.1082
7064;政;131;0.0014;84.1194
7065;水手;131;0.0014;84.118
7066;弧;131;0.0014;84.1166
7067;显现;131;0.0014;84.1152
7068;翼;131;0.0014;84.1138
7069;种群;131;0.0014;84.1208
7070;晚期;131;0.0014;84.1124
7071;毅然;131;0.0014;84.111
7072;不问;131;0.0014;84.1096
7073;救济;131;0.0014;84.104
7074;健壮;131;0.0014;84.1068
7075;党政;131;0.0014;84.09
7076;放进;131;0.0014;84.0858
7077;选拔;131;0.0014;84.069
7078;老先生;131;0.0014;84.0578
7079;澳门;131;0.0014;84.0592
7080;匈牙利;131;0.0014;84.0606
7081;长处;131;0.0014;84.062
7082;插入;131;0.0014;84.0634
7083;来源于;131;0.0014;84.0648
7084;少伟;131;0.0014;84.0662
7085;看清;131;0.0014;84.0676
7086;小路;131;0.0014;84.055
7087;岛屿;131;0.0014;84.0704
7088;蔡;131;0.0014;84.0718
7089;忍;131;0.0014;84.0732
7090;粉末;131;0.0014;84.0746
7091;冒险;131;0.0014;84.076
7092;引用;131;0.0014;84.0774
7093;复杂性;131;0.0014;84.0788
7094;远离;131;0.0014;84.0802
7095;乐观;131;0.0014;84.0816
7096;教义;131;0.0014;84.083
7097;凝;131;0.0014;84.0564
7098;照明;131;0.0014;84.0844
7099;汉代;131;0.0014;84.0886
7100;上部;130;0.0014;84.1642
7101;当场;130;0.0014;84.1656
7102;举动;130;0.0014;84.1838
7103;拉到;130;0.0014;84.1684
7104;锤;130;0.0014;84.1628
7105;身躯;130;0.0014;84.1698
7106;正规;130;0.0014;84.1712
7107;吸引力;130;0.0014;84.1726
7108;逃走;130;0.0014;84.174
7109;早日;130;0.0014;84.1754
7110;领导班子;130;0.0014;84.1768
7111;流血;130;0.0014;84.1782
7112;妥协;130;0.0014;84.1796
7113;作过;130;0.0014;84.181
7114;剧场;130;0.0014;84.1852
7115;唤起;130;0.0014;84.1992
7116;罕见;130;0.0014;84.2006
7117;压制;130;0.0014;84.1964
7118;冰雪;130;0.0014;84.195
7119;换句话说;130;0.0014;84.1936
7120;偶尔;130;0.0014;84.1922
7121;侵;130;0.0014;84.1978
7122;自言自语;130;0.0014;84.1908
7123;确有;130;0.0014;84.1894
7124;电能;130;0.0014;84.1824
7125;宁静;130;0.0014;84.1866
7126;不只是;130;0.0014;84.16
7127;差价;130;0.0014;84.188
7128;科学院;130;0.0014;84.167
7129;二十九;130;0.0014;84.1572
7130;小声;130;0.0014;84.1334
7131;账;130;0.0014;84.1362
7132;县里;130;0.0014;84.1222
7133;解散;130;0.0014;84.1348
7134;狭义;130;0.0014;84.1404
7135;时而;130;0.0014;84.132
7136;糟;130;0.0014;84.1306
7137;耕作;130;0.0014;84.1292
7138;家具;130;0.0014;84.1278
7139;写字;130;0.0014;84.1264
7140;遥感;130;0.0014;84.125
7141;新旧;130;0.0014;84.1236
7142;对外开放;130;0.0014;84.139
7143;挡;130;0.0014;84.1418
7144;看望;130;0.0014;84.1432
7145;唤;130;0.0014;84.1446
7146;不容;130;0.0014;84.146
7147;学堂;130;0.0014;84.1474
7148;爬到;130;0.0014;84.1488
7149;真空;130;0.0014;84.1502
7150;无机;130;0.0014;84.1516
7151;口里;130;0.0014;84.153
7152;课本;130;0.0014;84.1544
7153;感受到;130;0.0014;84.1558
7154;中小学;130;0.0014;84.1614
7155;先天;130;0.0014;84.1586
7156;未曾;130;0.0014;84.1376
7157;金刚石;129;0.0013;84.2331
7158;分辨;129;0.0013;84.2305
7159;灵敏;129;0.0013;84.2344
7160;边上;129;0.0013;84.2357
7161;切断;129;0.0013;84.237
7162;敏锐;129;0.0013;84.2383
7163;抚摸;129;0.0013;84.2396
7164;弟子;129;0.0013;84.2409
7165;长安;129;0.0013;84.2422
7166;轻微;129;0.0013;84.2435
7167;凝视;129;0.0013;84.2448
7168;免疫;129;0.0013;84.2487
7169;蛋白;129;0.0013;84.2604
7170;入侵;129;0.0013;84.2539
7171;介质;129;0.0013;84.2578
7172;战时;129;0.0013;84.2565
7173;全村;129;0.0013;84.2552
7174;妇人;129;0.0013;84.2591
7175;专题;129;0.0013;84.2526
7176;面包;129;0.0013;84.2513
7177;据点;129;0.0013;84.2461
7178;四化建设;129;0.0013;84.25
7179;脊;129;0.0013;84.2318
7180;姊妹;129;0.0013;84.2279
7181;有影响;129;0.0013;84.2123
7182;精细;129;0.0013;84.2084
7183;葫芦;129;0.0013;84.2019
7184;波浪;129;0.0013;84.2097
7185;演唱;129;0.0013;84.2136
7186;肝脏;129;0.0013;84.2071
7187;水珠;129;0.0013;84.2058
7188;花钱;129;0.0013;84.2045
7189;生有;129;0.0013;84.2032
7190;偏见;129;0.0013;84.211
7191;光景;129;0.0013;84.2149
7192;科学性;129;0.0013;84.2162
7193;想出;129;0.0013;84.2175
7194;啃;129;0.0013;84.2266
7195;船头;129;0.0013;84.2201
7196;好听;129;0.0013;84.2474
7197;章程;129;0.0013;84.2292
7198;迷人;129;0.0013;84.2214
7199;音乐家;129;0.0013;84.2227
7200;妹;129;0.0013;84.224
7201;坏人;129;0.0013;84.2253
7202;宴会;129;0.0013;84.2188
7203;大叫;128;0.0013;84.2994
7204;扫荡;128;0.0013;84.2929
7205;驾驶;128;0.0013;84.2942
7206;派遣;128;0.0013;84.2955
7207;大战;128;0.0013;84.2968
7208;可就;128;0.0013;84.3163
7209;归来;128;0.0013;84.2981
7210;调到;128;0.0013;84.289
7211;嵌;128;0.0013;84.3007
7212;一线;128;0.0013;84.302
7213;忧郁;128;0.0013;84.3033
7214;罚;128;0.0013;84.315
7215;长出;128;0.0013;84.3059
7216;婶;128;0.0013;84.3072
7217;发展史;128;0.0013;84.3085
7218;人民日报;128;0.0013;84.3098
7219;肚皮;128;0.0013;84.3111
7220;拧;128;0.0013;84.3124
7221;进军;128;0.0013;84.3137
7222;为何;128;0.0013;84.3046
7223;呼吁;128;0.0013;84.2864
7224;怀抱;128;0.0013;84.2916
7225;自动化;128;0.0013;84.2903
7226;识;128;0.0013;84.2851
7227;八百;128;0.0013;84.2721
7228;报告文学;128;0.0013;84.2669
7229;威信;128;0.0013;84.2682
7230;高等学校;128;0.0013;84.2734
7231;成正比;128;0.0013;84.2656
7232;指明;128;0.0013;84.2643
7233;百分;128;0.0013;84.263
7234;旱;128;0.0013;84.2617
7235;选定;128;0.0013;84.2695
7236;失掉;128;0.0013;84.2747
7237;半夜;128;0.0013;84.276
7238;听话;128;0.0013;84.2773
7239;开垦;128;0.0013;84.2786
7240;不光;128;0.0013;84.2799
7241;兄;128;0.0013;84.2877
7242;沙滩;128;0.0013;84.2812
7243;解脱;128;0.0013;84.2708
7244;酋长;128;0.0013;84.2825
7245;味儿;128;0.0013;84.2838
7246;外力;127;0.0013;84.3449
7247;顾虑;127;0.0013;84.3514
7248;不耐烦;127;0.0013;84.3501
7249;不全;127;0.0013;84.3488
7250;自豪;127;0.0013;84.354
7251;大纲;127;0.0013;84.3553
7252;馒头;127;0.0013;84.3566
7253;预计;127;0.0013;84.3579
7254;掠过;127;0.0013;84.3592
7255;问世;127;0.0013;84.3605
7256;伸长;127;0.0013;84.3618
7257;书写;127;0.0013;84.3631
7258;信徒;127;0.0013;84.3657
7259;农具;127;0.0013;84.3722
7260;金牌;127;0.0013;84.3774
7261;公主;127;0.0013;84.3761
7262;蚊子;127;0.0013;84.3748
7263;气愤;127;0.0013;84.3735
7264;蹦;127;0.0013;84.3787
7265;忠诚;127;0.0013;84.3709
7266;献;127;0.0013;84.3696
7267;数学家;127;0.0013;84.3683
7268;里头;127;0.0013;84.3644
7269;宝贝;127;0.0013;84.367
7270;亚;127;0.0013;84.3527
7271;犹;127;0.0013;84.3462
7272;普通话;127;0.0013;84.3267
7273;次序;127;0.0013;84.328
7274;单个;127;0.0013;84.3306
7275;立方米;127;0.0013;84.3254
7276;习;127;0.0013;84.3241
7277;山路;127;0.0013;84.3228
7278;道教;127;0.0013;84.3215
7279;电视剧;127;0.0013;84.3202
7280;特地;127;0.0013;84.3189
7281;做饭;127;0.0013;84.3176
7282;陕西;127;0.0013;84.3293
7283;泉;127;0.0013;84.3319
7284;个体户;127;0.0013;84.3332
7285;光滑;127;0.0013;84.3345
7286;特意;127;0.0013;84.3358
7287;喊声;127;0.0013;84.3371
7288;吾人;127;0.0013;84.3384
7289;贯穿;127;0.0013;84.3397
7290;谜;127;0.0013;84.341
7291;冷冷;127;0.0013;84.3423
7292;祖宗;127;0.0013;84.3436
7293;组织上;127;0.0013;84.3475
7294;羊毛;126;0.0013;84.4047
7295;繁;126;0.0013;84.4034
7296;议员;126;0.0013;84.4021
7297;联结;126;0.0013;84.3904
7298;蜡烛;126;0.0013;84.4008
7299;国际上;126;0.0013;84.406
7300;导管;126;0.0013;84.3982
7301;公安机关;126;0.0013;84.3969
7302;闺女;126;0.0013;84.3956
7303;年头;126;0.0013;84.3943
7304;事例;126;0.0013;84.393
7305;效;126;0.0013;84.3891
7306;全心全意;126;0.0013;84.38
7307;一早;126;0.0013;84.3813
7308;文革;126;0.0013;84.3826
7309;性情;126;0.0013;84.3839
7310;其二;126;0.0013;84.3852
7311;暗中;126;0.0013;84.3917
7312;排水;126;0.0013;84.3878
7313;踏上;126;0.0013;84.3865
7314;净化;126;0.0013;84.4086
7315;伞;126;0.0013;84.4268
7316;当兵;126;0.0013;84.3995
7317;自卫;126;0.0013;84.4281
7318;一家人;126;0.0013;84.4229
7319;值班;126;0.0013;84.4294
7320;乾隆;126;0.0013;84.4307
7321;离去;126;0.0013;84.432
7322;职员;126;0.0013;84.4333
7323;急于;126;0.0013;84.4346
7324;关上;126;0.0013;84.4359
7325;粤;126;0.0013;84.4372
7326;下乡;126;0.0013;84.4385
7327;经济核算;126;0.0013;84.4255
7328;电离;126;0.0013;84.4216
7329;未经;126;0.0013;84.4203
7330;口头;126;0.0013;84.419
7331;双眼;126;0.0013;84.4177
7332;孙悟空;126;0.0013;84.4164
7333;致富;126;0.0013;84.4151
7334;颇为;126;0.0013;84.4138
7335;握住;126;0.0013;84.4073
7336;楚;126;0.0013;84.4125
7337;唯有;126;0.0013;84.4242
7338;无从;126;0.0013;84.4112
7339;枪声;126;0.0013;84.4099
7340;况且;125;0.0013;84.4671
7341;水滴;125;0.0013;84.4684
7342;流向;125;0.0013;84.4697
7343;宽阔;125;0.0013;84.4879
7344;法庭;125;0.0013;84.471
7345;脓;125;0.0013;84.4632
7346;抗议;125;0.0013;84.4723
7347;锡;125;0.0013;84.4736
7348;倾听;125;0.0013;84.4749
7349;连同;125;0.0013;84.4762
7350;国土;125;0.0013;84.4866
7351;经营者;125;0.0013;84.4788
7352;缕;125;0.0013;84.4801
7353;仁;125;0.0013;84.4814
7354;生态系统;125;0.0013;84.4827
7355;专业户;125;0.0013;84.484
7356;俗称;125;0.0013;84.4853
7357;不理;125;0.0013;84.4775
7358;手脚;125;0.0013;84.4658
7359;佩服;125;0.0013;84.4606
7360;豆;125;0.0013;84.4593
7361;造就;125;0.0013;84.4645
7362;飞来;125;0.0013;84.4398
7363;声调;125;0.0013;84.4502
7364;辨认;125;0.0013;84.4437
7365;蕴藏;125;0.0013;84.445
7366;巴西;125;0.0013;84.4463
7367;小船;125;0.0013;84.4476
7368;厂房;125;0.0013;84.4489
7369;等候;125;0.0013;84.4424
7370;渡;125;0.0013;84.4515
7371;贫;125;0.0013;84.4528
7372;花生;125;0.0013;84.4541
7373;美化;125;0.0013;84.4554
7374;暂;125;0.0013;84.4567
7375;只顾;125;0.0013;84.4619
7376;南海;125;0.0013;84.458
7377;梨;125;0.0013;84.4411
7378;氢氧化钠;124;0.0013;84.5425
7379;间隔;124;0.0013;84.5269
7380;益;124;0.0013;84.5282
7381;资产;124;0.0013;84.5243
7382;一侧;124;0.0013;84.5295
7383;余地;124;0.0013;84.5308
7384;谨慎;124;0.0013;84.5321
7385;胡耀邦;124;0.0013;84.5334
7386;深受;124;0.0013;84.5347
7387;赖;124;0.0013;84.536
7388;散射;124;0.0013;84.5373
7389;烈士;124;0.0013;84.5386
7390;不合;124;0.0013;84.5399
7391;稀少;124;0.0013;84.5438
7392;枕头;124;0.0013;84.5516
7393;舱;124;0.0013;84.5529
7394;再三;124;0.0013;84.5503
7395;射出;124;0.0013;84.5555
7396;立体;124;0.0013;84.5568
7397;过后;124;0.0013;84.5581
7398;金明;124;0.0013;84.5542
7399;植;124;0.0013;84.549
7400;胎儿;124;0.0013;84.5477
7401;塘;124;0.0013;84.5412
7402;疙瘩;124;0.0013;84.5464
7403;赐;124;0.0013;84.5451
7404;下边;124;0.0013;84.5256
7405;显露;124;0.0013;84.5204
7406;久久;124;0.0013;84.4983
7407;在场;124;0.0013;84.5009
7408;反封建;124;0.0013;84.4996
7409;赏;124;0.0013;84.5048
7410;婚姻法;124;0.0013;84.497
7411;通用;124;0.0013;84.4957
7412;西德;124;0.0013;84.4944
7413;勇于;124;0.0013;84.4931
7414;拥;124;0.0013;84.4918
7415;胀;124;0.0013;84.4905
7416;新人;124;0.0013;84.4892
7417;交错;124;0.0013;84.5022
7418;锌;124;0.0013;84.5061
7419;十一月;124;0.0013;84.5074
7420;杜威;124;0.0013;84.5087
7421;毒性;124;0.0013;84.51
7422;悬挂;124;0.0013;84.5113
7423;空白;124;0.0013;84.5126
7424;现出;124;0.0013;84.5139
7425;端正;124;0.0013;84.5152
7426;不平;124;0.0013;84.5165
7427;飞翔;124;0.0013;84.523
7428;对准;124;0.0013;84.5178
7429;郊区;124;0.0013;84.5035
7430;威力;124;0.0013;84.5217
7431;大国;124;0.0013;84.5191
7432;震惊;123;0.0013;84.5815
7433;咸;123;0.0013;84.5958
7434;透露;123;0.0013;84.5906
7435;觉察;123;0.0013;84.5919
7436;平坦;123;0.0013;84.5932
7437;统;123;0.0013;84.6114
7438;快去;123;0.0013;84.5945
7439;辩护;123;0.0013;84.5867
7440;勘探;123;0.0013;84.5971
7441;扒;123;0.0013;84.5984
7442;标语;123;0.0013;84.5997
7443;后天;123;0.0013;84.6101
7444;壁上;123;0.0013;84.6023
7445;狭;123;0.0013;84.6036
7446;灵活性;123;0.0013;84.6049
7447;文艺复兴;123;0.0013;84.6062
7448;星际;123;0.0013;84.6075
7449;喷出;123;0.0013;84.5841
7450;不解;123;0.0013;84.6088
7451;暴动;123;0.0013;84.588
7452;荧光屏;123;0.0013;84.601
7453;浇;123;0.0013;84.5893
7454;野生;123;0.0013;84.5828
7455;坚固;123;0.0013;84.562
7456;安心;123;0.0013;84.5633
7457;友人;123;0.0013;84.5711
7458;客观性;123;0.0013;84.5646
7459;做梦;123;0.0013;84.5659
7460;协同;123;0.0013;84.5672
7461;休眠;123;0.0013;84.5685
7462;邻近;123;0.0013;84.5698
7463;照相;123;0.0013;84.5607
7464;散布;123;0.0013;84.5724
7465;党委书记;123;0.0013;84.5737
7466;十二月;123;0.0013;84.575
7467;上次;123;0.0013;84.5763
7468;解答;123;0.0013;84.5776
7469;所能;123;0.0013;84.5789
7470;抓起;123;0.0013;84.5854
7471;主编;123;0.0013;84.5802
7472;长官;123;0.0013;84.5594
7473;先前;122;0.0013;84.6465
7474;胸部;122;0.0013;84.6686
7475;焦点;122;0.0013;84.6387
7476;漆;122;0.0013;84.6478
7477;厌;122;0.0013;84.6439
7478;中枢;122;0.0013;84.6426
7479;惊喜;122;0.0013;84.6491
7480;忍耐;122;0.0013;84.6504
7481;摇晃;122;0.0013;84.6517
7482;心底;122;0.0013;84.653
7483;不正之风;122;0.0013;84.6543
7484;辽阔;122;0.0013;84.6556
7485;桂林;122;0.0013;84.6699
7486;呆呆;122;0.0013;84.6582
7487;东欧;122;0.0013;84.6595
7488;簇;122;0.0013;84.6608
7489;勿;122;0.0013;84.6621
7490;毒素;122;0.0013;84.6634
7491;瘤;122;0.0013;84.666
7492;民主主义;122;0.0013;84.6569
7493;多久;122;0.0013;84.6673
7494;素材;122;0.0013;84.6647
7495;法学;122;0.0013;84.6452
7496;眼晴;122;0.0013;84.64
7497;报纸上;122;0.0013;84.6218
7498;胚胎;122;0.0013;84.6231
7499;遗;122;0.0013;84.6257
7500;世代;122;0.0013;84.6205
7501;飞快;122;0.0013;84.6192
7502;隔离;122;0.0013;84.6179
7503;甲烷;122;0.0013;84.6166
7504;多层次;122;0.0013;84.6153
7505;高等教育;122;0.0013;84.614
7506;天生;122;0.0013;84.6127
7507;宽大;122;0.0013;84.6244
7508;中美;122;0.0013;84.627
7509;胡适;122;0.0013;84.6283
7510;话筒;122;0.0013;84.6296
7511;特殊性;122;0.0013;84.6309
7512;困境;122;0.0013;84.6322
7513;华侨;122;0.0013;84.6335
7514;编写;122;0.0013;84.6361
7515;图书;122;0.0013;84.6413
7516;究;122;0.0013;84.6374
7517;辈;122;0.0013;84.6348
7518;计划生育;121;0.0013;84.7388
7519;轮流;121;0.0013;84.7128
7520;买来;121;0.0013;84.7102
7521;旺;121;0.0013;84.7141
7522;征求;121;0.0013;84.7154
7523;封建制度;121;0.0013;84.7167
7524;忙碌;121;0.0013;84.718
7525;畲族;121;0.0013;84.7193
7526;奔跑;121;0.0013;84.7206
7527;兰;121;0.0013;84.7219
7528;逐年;121;0.0013;84.7232
7529;质变;121;0.0013;84.7245
7530;欧姆;121;0.0013;84.7258
7531;智能;121;0.0013;84.7271
7532;村长;121;0.0013;84.7284
7533;苯;121;0.0013;84.731
7534;法官;121;0.0013;84.7466
7535;自主;121;0.0013;84.744
7536;确;121;0.0013;84.7427
7537;精度;121;0.0013;84.7063
7538;勤劳;121;0.0013;84.7401
7539;公安;121;0.0013;84.7115
7540;眼神;121;0.0013;84.7453
7541;严寒;121;0.0013;84.7375
7542;别看;121;0.0013;84.7362
7543;何处;121;0.0013;84.7349
7544;奉献;121;0.0013;84.7336
7545;暴雨;121;0.0013;84.7323
7546;孵化;121;0.0013;84.7297
7547;车厢;121;0.0013;84.7414
7548;所有者;121;0.0013;84.7076
7549;多样化;121;0.0013;84.6855
7550;莲子;121;0.0013;84.6842
7551;押;121;0.0013;84.6829
7552;新奇;121;0.0013;84.6894
7553;下级;121;0.0013;84.6816
7554;半封建;121;0.0013;84.6803
7555;留学;121;0.0013;84.6751
7556;光源;121;0.0013;84.6712
7557;冶炼;121;0.0013;84.6725
7558;洗澡;121;0.0013;84.6738
7559;无意;121;0.0013;84.679
7560;耽误;121;0.0013;84.6764
7561;经受;121;0.0013;84.6777
7562;大厦;121;0.0013;84.6868
7563;电池;121;0.0013;84.6907
7564;大大小小;121;0.0013;84.692
7565;一心;121;0.0013;84.6933
7566;摧残;121;0.0013;84.6946
7567;日记;121;0.0013;84.6959
7568;实例;121;0.0013;84.6972
7569;轰;121;0.0013;84.6985
7570;生理学;121;0.0013;84.6998
7571;误会;121;0.0013;84.7011
7572;不快;121;0.0013;84.7089
7573;陈旧;121;0.0013;84.7024
7574;颌;121;0.0013;84.6881
7575;对外贸易;121;0.0013;84.7037
7576;敏捷;121;0.0013;84.705
7577;粘液;120;0.0013;84.8038
7578;疑惑;120;0.0013;84.7869
7579;牢;120;0.0013;84.7843
7580;一动;120;0.0013;84.7895
7581;无知;120;0.0013;84.7908
7582;原则上;120;0.0013;84.7921
7583;鲫鱼;120;0.0013;84.7934
7584;债务;120;0.0013;84.7947
7585;呼喊;120;0.0013;84.796
7586;恒;120;0.0013;84.7973
7587;搬家;120;0.0013;84.7986
7588;动量;120;0.0013;84.7999
7589;补贴;120;0.0013;84.8012
7590;田间;120;0.0013;84.8051
7591;只用;120;0.0013;84.8181
7592;铅笔;120;0.0013;84.8194
7593;至此;120;0.0013;84.8155
7594;太阳能;120;0.0013;84.8142
7595;炉子;120;0.0013;84.8129
7596;吃力;120;0.0013;84.8116
7597;鞭子;120;0.0013;84.8168
7598;谈不上;120;0.0013;84.8103
7599;太平;120;0.0013;84.809
7600;被捕;120;0.0013;84.8077
7601;大好;120;0.0013;84.7817
7602;大跃进;120;0.0013;84.8025
7603;入学;120;0.0013;84.7856
7604;前头;120;0.0013;84.8064
7605;珍珠;120;0.0013;84.7882
7606;师范;120;0.0013;84.7804
7607;复制;120;0.0013;84.757
7608;时髦;120;0.0013;84.7596
7609;星系;120;0.0013;84.7479
7610;刻度;120;0.0013;84.7583
7611;避开;120;0.0013;84.7635
7612;内脏;120;0.0013;84.7557
7613;甲板;120;0.0013;84.7544
7614;繁多;120;0.0013;84.7531
7615;真实性;120;0.0013;84.7518
7616;茶叶;120;0.0013;84.7505
7617;未知;120;0.0013;84.7492
7618;徘徊;120;0.0013;84.7609
7619;适;120;0.0013;84.7648
7620;鞭;120;0.0013;84.7661
7621;流泪;120;0.0013;84.7674
7622;美国人;120;0.0013;84.7687
7623;劳动日;120;0.0013;84.77
7624;创伤;120;0.0013;84.783
7625;温度计;120;0.0013;84.7726
7626;移民;120;0.0013;84.7622
7627;刊登;120;0.0013;84.7739
7628;语句;120;0.0013;84.7752
7629;国有;120;0.0013;84.7765
7630;辞职;120;0.0013;84.7778
7631;星球;120;0.0013;84.7791
7632;初次;120;0.0013;84.7713
7633;枝叶;119;0.0012;84.853
7634;墨西哥;119;0.0012;84.8542
7635;必不可少;119;0.0012;84.8554
7636;卧室;119;0.0012;84.8662
7637;找来;119;0.0012;84.8566
7638;均可;119;0.0012;84.8494
7639;子宫;119;0.0012;84.8578
7640;山林;119;0.0012;84.859
7641;蒸;119;0.0012;84.8602
7642;步子;119;0.0012;84.8614
7643;凄凉;119;0.0012;84.8626
7644;繁重;119;0.0012;84.8674
7645;衔;119;0.0012;84.877
7646;徒;119;0.0012;84.8758
7647;卓越;119;0.0012;84.8746
7648;个儿;119;0.0012;84.8734
7649;棚;119;0.0012;84.8722
7650;各界;119;0.0012;84.8638
7651;同化;119;0.0012;84.8698
7652;笔记;119;0.0012;84.8686
7653;概率;119;0.0012;84.871
7654;并没;119;0.0012;84.847
7655;内蒙古;119;0.0012;84.865
7656;乘机;119;0.0012;84.8518
7657;停下;119;0.0012;84.8506
7658;捡;119;0.0012;84.8326
7659;回避;119;0.0012;84.8206
7660;津;119;0.0012;84.829
7661;高地;119;0.0012;84.8338
7662;经济制度;119;0.0012;84.8266
7663;呗;119;0.0012;84.8254
7664;尊严;119;0.0012;84.8242
7665;熔;119;0.0012;84.823
7666;损耗;119;0.0012;84.8218
7667;嘴角;119;0.0012;84.8302
7668;梳;119;0.0012;84.835
7669;学徒;119;0.0012;84.8362
7670;嚼;119;0.0012;84.8374
7671;黄土;119;0.0012;84.8386
7672;不服;119;0.0012;84.8398
7673;氢原子;119;0.0012;84.8482
7674;书包;119;0.0012;84.841
7675;雕;119;0.0012;84.8314
7676;出产;119;0.0012;84.8422
7677;台下;119;0.0012;84.8434
7678;副主席;119;0.0012;84.8446
7679;乒乓球;119;0.0012;84.8458
7680;无色;119;0.0012;84.8278
7681;何等;118;0.0012;84.919
7682;判;118;0.0012;84.913
7683;隔壁;118;0.0012;84.9142
7684;玩笑;118;0.0012;84.9154
7685;运到;118;0.0012;84.9166
7686;演说;118;0.0012;84.9274
7687;拐;118;0.0012;84.9178
7688;列举;118;0.0012;84.9094
7689;清脆;118;0.0012;84.9202
7690;发电;118;0.0012;84.9214
7691;笨;118;0.0012;84.9226
7692;参照;118;0.0012;84.9238
7693;赚钱;118;0.0012;84.925
7694;招生;118;0.0012;84.9298
7695;借用;118;0.0012;84.9418
7696;奥秘;118;0.0012;84.9406
7697;右派;118;0.0012;84.9394
7698;熄灭;118;0.0012;84.9382
7699;筐;118;0.0012;84.937
7700;寄主;118;0.0012;84.9358
7701;烟囱;118;0.0012;84.9346
7702;贫穷;118;0.0012;84.9334
7703;橡皮;118;0.0012;84.9322
7704;领会;118;0.0012;84.931
7705;均衡;118;0.0012;84.9262
7706;书房;118;0.0012;84.9286
7707;婚礼;118;0.0012;84.9118
7708;成千上万;118;0.0012;84.9058
7709;阴阳;118;0.0012;84.8878
7710;烫;118;0.0012;84.9106
7711;教养;118;0.0012;84.8914
7712;身穿;118;0.0012;84.8866
7713;因地制宜;118;0.0012;84.8854
7714;臣;118;0.0012;84.8842
7715;打败;118;0.0012;84.8794
7716;陶;118;0.0012;84.8818
7717;示范;118;0.0012;84.8806
7718;侧重;118;0.0012;84.883
7719;说起来;118;0.0012;84.8782
7720;最先;118;0.0012;84.889
7721;大字;118;0.0012;84.8926
7722;刻画;118;0.0012;84.8938
7723;瑞典;118;0.0012;84.895
7724;传导;118;0.0012;84.8962
7725;量子力学;118;0.0012;84.8974
7726;花纹;118;0.0012;84.8986
7727;委员长;118;0.0012;84.8998
7728;振奋;118;0.0012;84.901
7729;支队;118;0.0012;84.9022
7730;搅;118;0.0012;84.9034
7731;突击;118;0.0012;84.9082
7732;甘心;118;0.0012;84.9046
7733;猛然;118;0.0012;84.8902
7734;鹅;118;0.0012;84.907
7735;鼻孔;117;0.0012;84.9982
7736;电线;117;0.0012;84.9778
7737;复合;117;0.0012;84.9922
7738;背影;117;0.0012;84.979
7739;逛;117;0.0012;84.9754
7740;祖父;117;0.0012;84.9802
7741;各方;117;0.0012;84.9814
7742;大王;117;0.0012;84.9826
7743;眨;117;0.0012;84.9838
7744;清水;117;0.0012;84.985
7745;炸弹;117;0.0012;84.9862
7746;燃;117;0.0012;84.9874
7747;群众性;117;0.0012;84.9886
7748;倒霉;117;0.0012;84.9898
7749;跳到;117;0.0012;84.9934
7750;汽油;117;0.0012;85.0054
7751;转为;117;0.0012;84.9994
7752;手榴弹;117;0.0012;85.003
7753;趋;117;0.0012;85.0018
7754;体外;117;0.0012;84.973
7755;萨满;117;0.0012;85.0042
7756;泄;117;0.0012;84.9766
7757;马车;117;0.0012;84.997
7758;适应性;117;0.0012;84.991
7759;诚实;117;0.0012;84.9958
7760;变法;117;0.0012;84.9946
7761;探测器;117;0.0012;85.0006
7762;怪物;117;0.0012;84.9742
7763;发抖;117;0.0012;84.9526
7764;葬;117;0.0012;84.9562
7765;用处;117;0.0012;84.943
